pred_date,buy_date,sell_date,baseline_return,latest_return,baseline_portfolio,latest_portfolio
2026-04-01,2026-04-02,2026-04-09,-0.003937551640195009,0.07822553404720112,601818:0.2000|600023:0.2000|601658:0.2000|601916:0.2000|601169:0.2000,300308:0.5286|300750:0.0937|300502:0.0277|601818:0.0760|600023:0.2740
2026-04-02,2026-04-03,2026-04-10,-0.016982343533896292,0.029094256270344645,601818:0.2000|600023:0.2000|601169:0.2000|601658:0.2000|601939:0.2000,300750:0.3736|300308:0.1637|300502:0.1127|601818:0.0813|600023:0.2687
2026-04-03,2026-04-07,2026-04-13,-0.0016733931698538155,0.07879227017939744,601818:0.2000|600023:0.2000|601169:0.2000|601939:0.2000|601916:0.2000,300750:0.3741|300308:0.1184|300502:0.1575|601818:0.0647|600023:0.2853
2026-04-07,2026-04-08,2026-04-14,0.0002318119782979066,0.07258173635334174,601818:0.2000|600023:0.2000|601169:0.2000|600919:0.2000|601939:0.2000,300502:0.3574|300308:0.1967|300394:0.0959|601818:0.0983|600023:0.2517
2026-04-08,2026-04-09,2026-04-15,0.001506546057743869,0.024951429047043658,601818:0.2000|601169:0.2000|600023:0.2000|601916:0.2000|600919:0.2000,300394:0.5242|300750:0.0584|601138:0.0674|601818:0.0810|601169:0.2690
2026-04-09,2026-04-10,2026-04-16,0.00907045209300542,-0.00887659206657938,601818:0.2000|601169:0.2000|601916:0.2000|600023:0.2000|600919:0.2000,300394:0.4805|300750:0.0923|601138:0.0772|601818:0.0819|601169:0.2681
2026-04-10,2026-04-13,2026-04-17,0.013092739317381395,0.025450787818259556,601818:0.2000|601916:0.2000|601169:0.2000|601939:0.2000|600919:0.2000,300394:0.4240|601138:0.1418|002028:0.0842|601818:0.1815|601916:0.1685
2026-04-13,2026-04-14,2026-04-20,0.007463898073270315,0.030535732269612113,601818:0.2000|600919:0.2000|601916:0.2000|601939:0.2000|601169:0.2000,002028:0.3798|300476:0.1259|300750:0.1443|601818:0.0651|600919:0.2849
2026-04-14,2026-04-15,2026-04-21,0.012679265196779711,0.014120128786317942,601818:0.2000|600919:0.2000|601916:0.2000|601939:0.2000|601169:0.2000,300750:0.2050|002028:0.2482|300394:0.1968|601818:0.1015|600919:0.2485
2026-04-15,2026-04-16,2026-04-22,0.009803753435329406,0.0445332792346303,601939:0.2000|600919:0.2000|601916:0.2000|601818:0.2000|601169:0.2000,600111:0.0726|300394:0.5481|002028:0.0293|601939:0.1742|600919:0.1758
2026-04-16,2026-04-17,2026-04-23,0.006914270102073072,0.0669373748646454,601939:0.2000|600919:0.2000|601916:0.2000|601818:0.2000|601328:0.2000,300502:0.3882|300394:0.2495|600111:0.0123|601939:0.1884|600919:0.1616
2026-04-17,2026-04-20,2026-04-24,0.011835790053261104,-0.010724961202322598,601939:0.2000|600919:0.2000|601916:0.2000|601818:0.2000|601328:0.2000,600089:0.1438|300394:0.3598|002028:0.1464|601939:0.1993|600919:0.1507
2026-04-20,2026-04-21,2026-04-27,-0.0015168023505729251,0.016520647289812684,601939:0.2000|601916:0.2000|601818:0.2000|600919:0.2000|601328:0.2000,300750:0.5618|600111:0.0299|002028:0.0583|601939:0.2535|601916:0.0965
2026-04-21,2026-04-22,2026-04-28,-0.010669540910136827,-0.034406166433433534,601939:0.2000|601916:0.2000|601328:0.2000|601818:0.2000|600919:0.2000,300750:0.4712|300394:0.1527|002028:0.0261|601939:0.2874|601916:0.0626
2026-04-22,2026-04-23,2026-04-29,0.0003038325617539489,-0.11407130044341998,601939:0.2000|601916:0.2000|601328:0.2000|601818:0.2000|601658:0.2000,300394:0.5940|300750:0.0386|002028:0.0174|601939:0.2603|601916:0.0897
2026-04-23,2026-04-24,2026-04-30,-0.0064454357805846,-0.00971388344493367,601939:0.2000|601328:0.2000|601818:0.2000|601916:0.2000|601658:0.2000,600111:0.0875|300750:0.2962|300394:0.2663|601939:0.2344|601328:0.1156
2026-04-24,2026-04-27,2026-05-06,-0.006698670219689212,-0.0337137694095821,601328:0.2000|601658:0.2000|601939:0.2000|601818:0.2000|601916:0.2000,300394:0.3868|002028:0.1378|300502:0.1254|601328:0.1315|601658:0.2185
2026-04-27,2026-04-28,2026-05-07,-0.013484284320549836,-0.00298682668209375,601658:0.2000|601818:0.2000|601328:0.2000|601939:0.2000|601398:0.2000,002028:0.3665|300502:0.1870|300750:0.0965|601658:0.2850|601818:0.0650
2026-04-28,2026-04-29,2026-05-08,-0.01988814423247487,0.017062304747786687,601658:0.2000|601818:0.2000|601328:0.2000|601939:0.2000|601398:0.2000,300750:0.5039|002028:0.0673|300502:0.0788|601658:0.2875|601818:0.0625
2026-04-29,2026-04-30,2026-05-11,-0.00781938144507019,0.006992785236948684,601658:0.2000|601818:0.2000|601328:0.2000|601398:0.2000|601916:0.2000,000063:0.2066|300750:0.3580|300502:0.0854|601658:0.3139|601818:0.0361
2026-04-30,2026-05-06,2026-05-12,0.0004150873797690401,0.015525232157021476,601658:0.2000|601818:0.2000|601328:0.2000|601916:0.2000|601398:0.2000,000063:0.2520|300502:0.1966|300750:0.2015|601658:0.3318|601818:0.0181
2026-05-06,2026-05-07,2026-05-13,0.003462898737762657,0.019850966890440747,601658:0.2000|601818:0.2000|601916:0.2000|601328:0.2000|601668:0.2000,601138:0.3935|000063:0.0670|300502:0.1895|601658:0.3267|601818:0.0233
2026-05-07,2026-05-08,2026-05-14,-0.0005755168095884916,0.10370539940301066,601818:0.2000|601658:0.2000|601668:0.2000|601398:0.2000|601916:0.2000,601138:0.5408|002028:0.0423|300502:0.0669|601818:0.0238|601658:0.3262
2026-05-08,2026-05-11,2026-05-15,0.0011723406326404266,0.03044472207843766,601818:0.2000|601668:0.2000|601658:0.2000|601398:0.2000|601916:0.2000,601138:0.3394|300750:0.2534|300502:0.0572|601818:0.0377|601668:0.3123
2026-05-11,2026-05-12,2026-05-18,-0.01136323415923513,-0.01468057518544596,601668:0.2000|601818:0.2000|601658:0.2000|601398:0.2000|601916:0.2000,601138:0.2494|300750:0.2721|300502:0.1285|601668:0.3114|601818:0.0386
2026-05-12,2026-05-13,2026-05-19,-0.015399743689582331,-0.020064514036850473,601818:0.2000|601668:0.2000|601658:0.2000|601398:0.2000|601916:0.2000,300750:0.5183|601138:0.0871|000063:0.0446|601818:0.1035|601668:0.2465
